,Polarity
614,Bo
615,Bo
616,Bo
617,Molt Dolent
618,Dolent
619,Bo
620,Neutral
621,Bo
622,Dolent
623,Bo
624,Dolent
625,Dolent
626,Molt Dolent
627,Bo
628,Bo
629,Bo
630,Molt Dolent
631,Bo
632,Neutral
633,Molt Dolent
634,Bo
635,Bo
636,Molt Dolent
637,Bo
638,Neutral
639,Molt Dolent
640,Bo
641,Dolent
642,Neutral
643,Bo
644,Molt Dolent
645,Dolent
646,Bo
647,Bo
648,Bo
649,Bo
650,Bo
651,Bo
652,Bo
653,Bo
654,Bo
655,Bo
656,Dolent
657,Molt Dolent
658,Bo
659,Bo
660,Molt Dolent
661,Bo
662,Molt Dolent
663,Molt Dolent
664,Bo
665,Bo
666,Bo
667,Bo
668,Bo
669,Dolent
670,Bo
671,Bo
672,Bo
673,Dolent
674,Dolent
675,Dolent
676,Dolent
677,Molt Dolent
678,Bo
679,Dolent
680,Bo
681,Molt Dolent
682,Bo
683,Molt Dolent
684,Neutral
685,Molt Dolent
686,Dolent
687,Bo
688,Bo
689,Dolent
690,Dolent
691,Bo
692,Dolent
693,Bo
694,Molt Dolent
695,Bo
696,Molt Dolent
697,Molt Dolent
698,Bo
699,Bo
700,Bo
701,Molt Dolent
702,Bo
703,Bo
704,Bo
705,Bo
706,Dolent
707,Dolent
708,Dolent
709,Bo
710,Bo
711,Bo
712,Molt Dolent
713,Dolent
714,Dolent
715,Dolent
716,Bo
717,Bo
718,Bo
719,Dolent
720,Molt Dolent
721,Bo
722,Bo
723,Bo
724,Bo
725,Bo
726,Bo
727,Bo
728,Bo
729,Bo
730,Bo
731,Bo
732,Molt Dolent
733,Bo
734,Bo
735,Bo
736,Molt Dolent
737,Neutral
738,Dolent
739,Bo
740,Molt Dolent
741,Dolent
742,Bo
743,Bo
744,Bo
745,Bo
746,Bo
747,Dolent
748,Bo
749,Bo
750,Dolent
751,Bo
752,Bo
753,Molt Dolent
754,Dolent
755,Bo
756,Bo
757,Neutral
758,Bo
759,Molt Dolent
760,Bo
761,Molt Dolent
762,Bo
763,Bo
